Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,GST No.CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
Berkah Pancing,Berkah Pancing,berkah_pancing@gmail.com,087812300098,,Kebumen,Jawa Tengah,,Indonesia,,,,,,,
Flow Sport,Flow Sport,flow_sport@gmail.com,0878-3738-4777,,Kebumen,Jawa Tengah,,Indonesia,,,,,,,
GG,GG,gg@gmail.com,087812300098,,Kebumen,Jawa Tengah,,Indonesia,,,,,,,
Raharjo,Raharjo,raharjo@gmail.com,0812-1261-2568,,Kebumen,Jawa Tengah,,Indonesia,,,,,,,
Salma,Salma,salma@gmail.com,0895-0609-3863,,Kebumen,Jawa Tengah,,Indonesia,,,,,,,
Yan,Yan,yan@gmail.com,087812300098,,Kebumen,Jawa Tengah,,Indonesia,,,,,,,
17-Pancing,17-Pancing,17-pancing@gmail.com,0812-2871-1144,,Kabupaten Kendal,Jawa Tengah,,Indonesia,,,,,,,
72-Pancing,72-Pancing,72-pancing@gmail.com,0813-2577-4846,,Kabupaten Kendal,Jawa Tengah,,Indonesia,,,,,,,
Fredy Pancing,Fredy Pancing,fredy_pancing@gmail.com,0815-9222-870,,Kabupaten Kendal,Jawa Tengah,,Indonesia,,,,,,,
Nompo Dong,Nompo Dong,nompo_dong@gmail.com,0895-3924-06633,,Kabupaten Kendal,Jawa Tengah,,Indonesia,,,,,,,
Liberty Pancing,Liberty Pancing,liberty_pancing@gmail.com,0812-3271-7383,,Klaten,Jawa Tengah,,Indonesia,,,,,,,
Mulyadi,Mulyadi,mulyadi@gmail.com,087812300098,,Klaten,Jawa Tengah,,Indonesia,,,,,,,
Surya Pancing - Klaten,Surya Pancing - Klaten,surya_pancing_-_klaten@gmail.com,0896-5450-2046,,Klaten,Jawa Tengah,,Indonesia,,,,,,,
Umi Pancing,Umi Pancing,umi_pancing@gmail.com,0858-0322-6992,,Klaten,Jawa Tengah,,Indonesia,,,,,,,
Zozo Pancing,Zozo Pancing,zozo_pancing@gmail.com,0815-6781-3064,,Klaten,Jawa Tengah,,Indonesia,,,,,,,
Angga Pancing,Angga Pancing,angga_pancing@gmail.com,0812-7349-2270,,Kudus,Jawa Tengah,,Indonesia,,,,,,,
Jati Pancing,Jati Pancing,jati_pancing@gmail.com,087812300098,,Kudus,Jawa Tengah,,Indonesia,,,,,,,
Mbahe,Mbahe,mbahe@gmail.com,087812300098,,Kudus,Jawa Tengah,,Indonesia,,,,,,,
Congot Pancing,Congot Pancing,congot_pancing@gmail.com,0856-4318-2222,,Kulon Progo,DIY,,Indonesia,,,,,,,
Jumadill,Jumadill,jumadill@gmail.com,0818-0422-1142,,Magelang,Jawa Tengah,,Indonesia,,,,,,,
Mustika Pancing,Mustika Pancing,mustika_pancing@gmail.com,0822-4327-7743,,Magelang,Jawa Tengah,,Indonesia,,,,,,,
Terminal Pancing - Magelang,Terminal Pancing - Magelang,terminal_pancing_-_magelang@gmail.com,081903975556,,Magelang,Jawa Tengah,,Indonesia,,,,,,,
Berkat Cupang,Berkat Cupang,berkat_cupang@gmail.com,0896-3783-4929,,Pati,Jawa Tengah,,Indonesia,,,,,,,
Doel,Doel,doel@gmail.com,0857-7523-6659,,Pati,Jawa Tengah,,Indonesia,,,,,,,
Gandika,Gandika,gandika@gmail.com,087812300098,,Pati,Jawa Tengah,,Indonesia,,,,,,,
Kio,Kio,kio@gmail.com,087812300098,,Pati,Jawa Tengah,,Indonesia,,,,,,,
Lautan Luas,Lautan Luas,lautan_luas@gmail.com,0813-2815-4650,,Pati,Jawa Tengah,,Indonesia,,,,,,,
Pancing & Ikan Hias,Pancing & Ikan Hias,pancing_&_ikan_hias@gmail.com,0896-5425-3482,,Pati,Jawa Tengah,,Indonesia,,,,,,,
Penjawi Pancing,Penjawi Pancing,penjawi_pancing@gmail.com,087812300098,,Pati,Jawa Tengah,,Indonesia,,,,,,,
Arromi Pancing,Arromi Pancing,arromi_pancing@gmail.com,0856-2651-222,,Pekalongan,Jawa Tengah,,Indonesia,,,,,,,
Berhasil (Sinyo),Berhasil (Sinyo),berhasil_(sinyo)@gmail.com,0823-2862-6647,,Pekalongan,Jawa Tengah,,Indonesia,,,,,,,
Hobi Abadi,Hobi Abadi,hobi_abadi@gmail.com,0858-7019-9562,,Pekalongan,Jawa Tengah,,Indonesia,,,,,,,
Jaya Raya Pancing,Jaya Raya Pancing,jaya_raya_pancing@gmail.com,0878-7979-7171,,Pekalongan,Jawa Tengah,,Indonesia,,,,,,,
Layang-layang - Pancing,Layang-layang - Pancing,layang-layang_-_pancing@gmail.com,087812300098,,Pekalongan,Jawa Tengah,,Indonesia,,,,,,,
Rizky Pancing,Rizky Pancing,rizky_pancing@gmail.com,0823-2569-9261,,Pekalongan,Jawa Tengah,,Indonesia,,,,,,,
Sinar Bahagia,Sinar Bahagia,sinar_bahagia@gmail.com,0823-2569-9261,,Pekalongan,Jawa Tengah,,Indonesia,,,,,,,
Arnam,Arnam,arnam@gmail.com,0859-4203-8708,,Pemalang,Jawa Tengah,,Indonesia,,,,,,,
Budi Pancing,Budi Pancing,budi_pancing@gmail.com,087812300098,,Pemalang,Jawa Tengah,,Indonesia,,,,,,,
Dunia Aquarium,Dunia Aquarium,dunia_aquarium@gmail.com,0878-3031-0032,,Pemalang,Jawa Tengah,,Indonesia,,,,,,,
Jangkar,Jangkar,jangkar@gmail.com,0895-3617-20692,,Pemalang,Jawa Tengah,,Indonesia,,,,,,,
Mas Udin Pancing,Mas Udin Pancing,mas_udin_pancing@gmail.com,0852-8000-5548,,Pemalang,Jawa Tengah,,Indonesia,,,,,,,
Pangestu,Pangestu,pangestu@gmail.com,0877-9874-2706,,Pemalang,Jawa Tengah,,Indonesia,,,,,,,
Selera Sport,Selera Sport,selera_sport@gmail.com,0853-2663-9536,,Pemalang,Jawa Tengah,,Indonesia,,,,,,,
AS'A Fishing,AS'A Fishing,as'a_fishing@gmail.com,0821-3474-3721,,Purbalingga,Jawa Tengah,,Indonesia,,,,,,,
Dua Putra,Dua Putra,dua_putra@gmail.com,087812300098,,Purbalingga,Jawa Tengah,,Indonesia,,,,,,,
Paris,Paris,paris@gmail.com,087812300098,,Purbalingga,Jawa Tengah,,Indonesia,,,,,,,
Bambang,Bambang,bambang@gmail.com,0812-2914-6285,,Rembang,Jawa Tengah,,Indonesia,,,,,,,
Cahaya Pancing,Cahaya Pancing,cahaya_pancing@gmail.com,087812300098,,Rembang,Jawa Tengah,,Indonesia,,,,,,,
Dian Pancing Lasem,Dian Pancing Lasem,dian_pancing_lasem@gmail.com,0852-3504-7722,,Rembang,Jawa Tengah,,Indonesia,,,,,,,
Kencana Fishing & Pet Shop,Kencana Fishing & Pet Shop,kencana_fishing_&_pet_shop@gmail.com,(0295) 532404,,Rembang,Jawa Tengah,,Indonesia,,,,,,,
Rembang.,Rembang.,rembang.@gmail.com,087812300098,,Rembang,Jawa Tengah,,Indonesia,,,,,,,
Ye Fishing,Ye Fishing,ye_fishing@gmail.com,087812300098,,Rembang,Jawa Tengah,,Indonesia,,,,,,,
ASPS Eddy,ASPS Eddy,asps_eddy@gmail.com,087812300098,,Semarang,Jawa Tengah,,Indonesia,,,,,,,
Mitra Nelayan,Mitra Nelayan,mitra_nelayan@gmail.com,0856-2705-334,,Ambarawa,Jawa Tengah,,Indonesia,,,,,,,
Sumber Rezeki SMG,Sumber Rezeki SMG,sumber_rezeki_smg@gmail.com,0896-6500-2586,,Semarang,Jawa Tengah,,Indonesia,,,,,,,
Raja Pancing - Sragen,Raja Pancing - Sragen,raja_pancing_-_sragen@gmail.com,085713004487,,Sragen,Jawa Tengah,,Indonesia,,,,,,,
Rajawali Sport/ Fishing,Rajawali Sport/ Fishing,rajawali_sport/_fishing@gmail.com,0858-6715-5775,,Sragen,Jawa Tengah,,Indonesia,,,,,,,
Satria Pancing - Sragen,Satria Pancing - Sragen,satria_pancing_-_sragen@gmail.com,085642314995,,Sragen,Jawa Tengah,,Indonesia,,,,,,,
Makmur Pancing - Sukoharjo,Makmur Pancing - Sukoharjo,makmur_pancing_-_sukoharjo@gmail.com,089505122233,,Sukoharjo,Jawa Tengah,,Indonesia,,,,,,,
Yuli Pancing,Yuli Pancing,yuli_pancing@gmail.com,0812-2544-6432,,Sukoharjo,Jawa Tengah,,Indonesia,,,,,,,
JVN,JVN,jvn@gmail.com,0812-8898-8511,,Surakarta,Jawa Tengah,,Indonesia,,,,,,,
Pak Agustian,Pak Agustian,pak_agustian@gmail.com,087812300098,,Surakarta,Jawa Tengah,,Indonesia,,,,,,,
Permai Pancing,Permai Pancing,permai_pancing@gmail.com,0851-0002-6383,,Surakarta,Jawa Tengah,,Indonesia,,,,,,,
Dewi Pancing,Dewi Pancing,dewi_pancing@gmail.com,0897-6760-489,,Tegal,Jawa Tengah,,Indonesia,,,,,,,
Dian Pancing (Tegal),Dian Pancing (Tegal),dian_pancing_(tegal)@gmail.com,0852-2917-1677,,Tegal,Jawa Tengah,,Indonesia,,,,,,,
Eni,Eni,eni@gmail.com,087812300098,,Tegal,Jawa Tengah,,Indonesia,,,,,,,
Isul Pancing,Isul Pancing,isul_pancing@gmail.com,0838-0965-5472,,Tegal,Jawa Tengah,,Indonesia,,,,,,,
Kembang,Kembang,kembang@gmail.com,087812300098,,Tegal,Jawa Tengah,,Indonesia,,,,,,,
Pakan Hewan Ingon PS,Pakan Hewan Ingon PS,pakan_hewan_ingon_ps@gmail.com,0823-2444-2227,,Tegal,Jawa Tengah,,Indonesia,,,,,,,
Untung Pancing,Untung Pancing,untung_pancing@gmail.com,0823-2211-1642,,Tegal,Jawa Tengah,,Indonesia,,,,,,,
Wahana Pancing,Wahana Pancing,wahana_pancing@gmail.com,0856-2576-757,,Temanggung,Jawa Tengah,,Indonesia,,,,,,,
Prima Jaya,Prima Jaya,prima_jaya@gmail.com,0821-3529-2484,,Wonogiri,Jawa Tengah,,Indonesia,,,,,,,
Bandar Agung Pancing,Bandar Agung Pancing,bandar_agung_pancing@gmail.com,0852-2742-5262,,Wonosobo,Jawa Tengah,,Indonesia,,,,,,,
Suka-suka Pancing,Suka-suka Pancing,suka-suka_pancing@gmail.com,0859-7401-5126,,Yogyakarta,DIY,,Indonesia,,,,,,,
Tholex's Pancing,Tholex's Pancing,tholex's_pancing@gmail.com,087-700-313-008,,Yogyakarta,DIY,,Indonesia,,,,,,,
FFM,FFM,ffm@gmail.com,087812300098,,-,Kota belum terdaftar,,Indonesia,,,,,,,
Al Barokah,Al Barokah,al_barokah@gmail.com,087812300098,,Bangkalan,Jawa Timur,,Indonesia,,,,,,,
Dewi Sri,Dewi Sri,dewi_sri@gmail.com,087812300098,,Bangkalan,Jawa Timur,,Indonesia,,,,,,,
Sentra Pancing Kamal,Sentra Pancing Kamal,sentra_pancing_kamal@gmail.com,085266668967,,Bangkalan,Jawa Timur,,Indonesia,,,,,,,
31 Fishing,31 Fishing,31_fishing@gmail.com,087812300098,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Asia Pancing,Asia Pancing,asia_pancing@gmail.com,0822-3404-1944,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Baluran Indah,Baluran Indah,baluran_indah@gmail.com,087812300098,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Barokah Banyuwangi,Barokah Banyuwangi,barokah_banyuwangi@gmail.com,087812300098,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Fix Fishing,Fix Fishing,fix_fishing@gmail.com,0888-0565-1778,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
H&H Fishing,H&H Fishing,h&h_fishing@gmail.com,081228360896,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Hoki,Hoki,hoki@gmail.com,087812300098,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Jogo Samudro,Jogo Samudro,jogo_samudro@gmail.com,0812-3284-867,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Karsun Hadi,Karsun Hadi,karsun_hadi@gmail.com,0821-3928-6188,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Khozim,Khozim,khozim@gmail.com,0812-2524-7457,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Krisna,Krisna,krisna@gmail.com,0812-1715-5642,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Mas Andik,Mas Andik,mas_andik@gmail.com,0813-3881-5784,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Omah Ndelik,Omah Ndelik,omah_ndelik@gmail.com,087812300098,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Pancing Mas,Pancing Mas,pancing_mas@gmail.com,0821-4378-3700,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
PK Fishing,PK Fishing,pk_fishing@gmail.com,087812300098,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Rony Pendowo,Rony Pendowo,rony_pendowo@gmail.com,087812300098,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Sumber Rejeki Banyuwangi,Sumber Rejeki Banyuwangi,sumber_rejeki_banyuwangi@gmail.com,0822-3429-7648,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Wijaya,Wijaya,wijaya@gmail.com,087812300098,,Banyuwangi,Jawa Timur,,Indonesia,,,,,,,
Cipto,Cipto,cipto@gmail.com,(0341) 593772,,Batu,Jawa Timur,,Indonesia,,,,,,,
Gelora Batu,Gelora Batu,gelora_batu@gmail.com,0878-3668-4645,,Batu,Jawa Timur,,Indonesia,,,,,,,
Kawi Pancing,Kawi Pancing,kawi_pancing@gmail.com,087812300098,,Batu,Jawa Timur,,Indonesia,,,,,,,
Mobil Pak Anton,Mobil Pak Anton,mobil_pak_anton@gmail.com,087812300098,,Batu,Jawa Timur,,Indonesia,,,,,,,
Mobil Pak Chris,Mobil Pak Chris,mobil_pak_chris@gmail.com,087812300098,,Batu,Jawa Timur,,Indonesia,,,,,,,
Mobil Pak Peterson,Mobil Pak Peterson,mobil_pak_peterson@gmail.com,087812300098,,Batu,Jawa Timur,,Indonesia,,,,,,,
Mobil Pak Yoga,Mobil Pak Yoga,mobil_pak_yoga@gmail.com,087812300098,,Batu,Jawa Timur,,Indonesia,,,,,,,
P. BINTAR ,P. BINTAR ,p._bintar_@gmail.com,087812300098,,Batu,Jawa Timur,,Indonesia,,,,,,,
Pak Paham,Pak Paham,pak_paham@gmail.com,087812300098,,Batu,Jawa Timur,,Indonesia,,,,,,,
Pak Yahya,Pak Yahya,pak_yahya@gmail.com,087812300098,,Batu,Jawa Timur,,Indonesia,,,,,,,
Rudijanto,Rudijanto,rudijanto@gmail.com,087812300098,,Batu,Jawa Timur,,Indonesia,,,,,,,
TNT,TNT,tnt@gmail.com,0856-0440-6192,,Batu,Jawa Timur,,Indonesia,,,,,,,
Asri Raya Pancing,Asri Raya Pancing,asri_raya_pancing@gmail.com,0856-4888-8768,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Brantas Blitar,Brantas Blitar,brantas_blitar@gmail.com,081233575575,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Dhika Pancing,Dhika Pancing,dhika_pancing@gmail.com,0815-5590-8808,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Dua Nusa,Dua Nusa,dua_nusa@gmail.com,0857-3679-8770,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Hero,Hero,hero@gmail.com,081333221022,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Hobiis Fishing,Hobiis Fishing,hobiis_fishing@gmail.com,0877-5698-8008,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Indo Indah Fishing,Indo Indah Fishing,indo_indah_fishing@gmail.com,087812300098,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Jatinom Pancing,Jatinom Pancing,jatinom_pancing@gmail.com,0815-1510-3770,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Mata Pancing Blitar,Mata Pancing Blitar,mata_pancing_blitar@gmail.com,087812300098,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Maxis Pancing,Maxis Pancing,maxis_pancing@gmail.com,0815-5420-9391,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Niko,Niko,niko@gmail.com,0856-4847-8655,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Purnama Pancing,Purnama Pancing,purnama_pancing@gmail.com,087812300098,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Randuagung,Randuagung,randuagung@gmail.com,0813-3459-1389,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Rimba Naga,Rimba Naga,rimba_naga@gmail.com,087812300098,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Rio,Rio,rio@gmail.com,087812300098,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Sauli Matun,Sauli Matun,sauli_matun@gmail.com,087812300098,,Blitar,Jawa Timur,,Indonesia,,,,,,,
Aneka Mainan dan Pancing,Aneka Mainan dan Pancing,aneka_mainan_dan_pancing@gmail.com,0812-4606-2051,,Bojonegoro,Jawa Timur,,Indonesia,,,,,,,
Mayangkoro Pancing,Mayangkoro Pancing,mayangkoro_pancing@gmail.com,0823-3386-1555,,Bojonegoro,Jawa Timur,,Indonesia,,,,,,,
Putra Jaya,Putra Jaya,putra_jaya@gmail.com,0821-4009-2921,,Bojonegoro,Jawa Timur,,Indonesia,,,,,,,
Santoso,Santoso,santoso@gmail.com,0812-3084-6071,,Bojonegoro,Jawa Timur,,Indonesia,,,,,,,
Hobby Bondowoso,Hobby Bondowoso,hobby_bondowoso@gmail.com,0813-3678-2568,,Bondowoso,Jawa Timur,,Indonesia,,,,,,,
Ipank Fishing,Ipank Fishing,ipank_fishing@gmail.com,0831-1150-9327,,Bondowoso,Jawa Timur,,Indonesia,,,,,,,
Pro Fishing,Pro Fishing,pro_fishing@gmail.com,087812300098,,Bondowoso,Jawa Timur,,Indonesia,,,,,,,
Trendy One (Hardy),Trendy One (Hardy),trendy_one_(hardy)@gmail.com,0852-3260-6369,,Bondowoso,Jawa Timur,,Indonesia,,,,,,,
Anugerah,Anugerah,anugerah@gmail.com,0857-8441-9828,,Gresik,Jawa Timur,,Indonesia,,,,,,,
Boss Se7en,Boss Se7en,boss_se7en@gmail.com,087812300098,,Gresik,Jawa Timur,,Indonesia,,,,,,,
Dio,Dio,dio@gmail.com,087812300098,,Gresik,Jawa Timur,,Indonesia,,,,,,,
Gogon,Gogon,gogon@gmail.com,0816-4504-572,,Gresik,Jawa Timur,,Indonesia,,,,,,,
Harmoni,Harmoni,harmoni@gmail.com,0878-5373-7282,,Gresik,Jawa Timur,,Indonesia,,,,,,,
KIG,KIG,kig@gmail.com,0811-343-772,,Gresik,Jawa Timur,,Indonesia,,,,,,,
Permata,Permata,permata@gmail.com,0811-328-305,,Gresik,Jawa Timur,,Indonesia,,,,,,,
Ulam Jaya Pancing,Ulam Jaya Pancing,ulam_jaya_pancing@gmail.com,0813-3215-9099,,Gresik,Jawa Timur,,Indonesia,,,,,,,
24,24,24@gmail.com,0823-3070-9124,,Jember,Jawa Timur,,Indonesia,,,,,,,
Alam (P. Bakar),Alam (P. Bakar),alam_(p._bakar)@gmail.com,0852-3553-5445,,Jember,Jawa Timur,,Indonesia,,,,,,,
Alam Samudera,Alam Samudera,alam_samudera@gmail.com,0852-3553-5445,,Jember,Jawa Timur,,Indonesia,,,,,,,
Aneka Jaya,Aneka Jaya,aneka_jaya@gmail.com,0852-3655-9153,,Jember,Jawa Timur,,Indonesia,,,,,,,
Arwana Jember,Arwana Jember,arwana_jember@gmail.com,0823-3062-6908,,Jember,Jawa Timur,,Indonesia,,,,,,,
ASPS Anggun,ASPS Anggun,asps_anggun@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
Barokah,Barokah,barokah@gmail.com,0857-3130-3873,,Jember,Jawa Timur,,Indonesia,,,,,,,
Bu. Toro/Baratan Antirogo,Bu. Toro/Baratan Antirogo,bu._toro/baratan_antirogo@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
Central Pancing,Central Pancing,central_pancing@gmail.com,0821-4135-3950,,Jember,Jawa Timur,,Indonesia,,,,,,,
Daim,Daim,daim@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
Deny,Deny,deny@gmail.com,0822-3296-1801 / 0331-333760,,Jember,Jawa Timur,,Indonesia,,,,,,,
Duta Pancing,Duta Pancing,duta_pancing@gmail.com,0852-5886-2063,,Jember,Jawa Timur,,Indonesia,,,,,,,
Elisa,Elisa,elisa@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
Febri,Febri,febri@gmail.com,0812-3198-0255,,Jember,Jawa Timur,,Indonesia,,,,,,,
Gebang Teckle,Gebang Teckle,gebang_teckle@gmail.com,0813-3999-9509,,Jember,Jawa Timur,,Indonesia,,,,,,,
Kuning,Kuning,kuning@gmail.com,0851-0184-5907,,Jember,Jawa Timur,,Indonesia,,,,,,,
Kurnia,Kurnia,kurnia@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
Leo Fishing,Leo Fishing,leo_fishing@gmail.com,0823-1326-0941,,Jember,Jawa Timur,,Indonesia,,,,,,,
Maharani,Maharani,maharani@gmail.com,0819-0600-1675,,Jember,Jawa Timur,,Indonesia,,,,,,,
Mas Briyan,Mas Briyan,mas_briyan@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
Mira Jember,Mira Jember,mira_jember@gmail.com,082140374310,,Jember,Jawa Timur,,Indonesia,,,,,,,
Mobil Pak Budi,Mobil Pak Budi,mobil_pak_budi@gmail.com,0821-4375-7649,,Jember,Jawa Timur,,Indonesia,,,,,,,
Nirwana,Nirwana,nirwana@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
Nosel,Nosel,nosel@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
O'ocong,O'ocong,o'ocong@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
Pak Eko,Pak Eko,pak_eko@gmail.com,082231259599/ 822140834229,,Jember,Jawa Timur,,Indonesia,,,,,,,
Pendik,Pendik,pendik@gmail.com,087812300098,,Jember,Jawa Timur,,Indonesia,,,,,,,
